0.000	20.000	4.089
0.602	20.000	4.089
1.585	20.000	4.080
2.585	20.000	4.089
3.585	20.000	4.080
4.585	20.000	4.080
5.584	20.000	4.080
6.585	20.000	4.080
7.585	20.000	4.080
8.584	20.000	4.089
9.585	20.000	4.089
10.585	20.000	4.080
11.585	20.000	4.080
12.585	20.000	4.080
13.585	20.000	4.070
14.585	20.000	4.089
15.585	20.000	4.089
16.585	20.000	4.080
17.585	20.000	4.089
18.585	20.000	4.089
19.584	20.000	4.080
20.585	20.000	4.089
21.585	20.000	4.080
22.585	20.000	4.089
23.585	20.000	4.080
24.584	20.000	4.080
0.000	20.000	4.080
0.601	20.000	4.080
1.598	20.000	4.080
2.598	20.000	4.089
3.598	20.000	4.080
4.598	20.000	4.080
5.598	20.000	4.089
6.597	20.000	4.080
7.598	20.000	4.080
8.597	20.000	4.089
9.598	20.000	4.080
10.598	20.000	4.080
11.597	20.000	4.089
12.597	20.000	4.080
13.598	20.000	4.080
14.598	20.000	4.080
15.598	20.000	4.089
16.598	20.000	4.080
17.598	20.000	4.089
18.598	20.000	4.089
19.598	20.000	4.080
20.598	20.000	4.080
21.598	20.000	4.080
22.597	20.000	4.070
23.597	20.000	4.089
24.598	20.000	4.080
25.598	20.000	4.080
26.597	20.000	4.080
27.598	20.000	4.080
28.598	20.000	4.080
